"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","Unhealthy Biology, Unlikely Stressed","Unhealthy Biology, Likely Stressed","Healthy Biology, Unlikely Stressed","Healthy Biology, Likely Stressed","Unhealthy Biology,  Very Likely Stressed","Healthy Biology,  Very Likely Stressed","Total Stressed FFM"
"114","SMC04239",34.3608,-119.31114,402,"Ventura","Ventura",0.79716481,2009-06-11,2009,1,0.79716481,"Natural",0,0,2,7,0,0,0
"115","SMC00693",33.2964,-117.08556,903,"San Diego","Northern San Diego",0.93094439,2010-05-31,2010,2,0.87183844,"Natural",0,0,2,7,0,0,0
"116","801M16973",33.93481,-117.34516,801,"Riverside","Middle Santa Ana",0.65900133,2018-06-06,2018,2,0.73132663,"Natural",2,7,0,0,0,0,7
"117","SMC02484",34.1451,-118.36764,412,"Los Angeles","Los Angeles",0.52408964,2013-06-05,2013,1,0.52408964,"Hard Bottom",1,5,0,0,3,0,8
"118","SMC02591",34.51783,-119.37846,402,"Ventura","Ventura",0.89992222,2011-07-21,2011,1,0.89992222,"Natural",0,0,2,7,0,0,0
"119","SMC04661",33.40606,-117.22499,902,"San Diego","Northern San Diego",0.93130374,2014-07-16,2014,1,0.93130374,"Natural",0,0,2,7,0,0,0
"120","403M01619",34.55945,-119.26634,403,"Ventura","Santa Clara",0.6893958,2021-05-25,2021,1,0.6893958,"Natural",3,6,0,0,0,0,6
"121","403M05832",34.54997,-118.50855,403,"Los Angeles","Santa Clara",0.85937319,2019-06-27,2019,1,0.85937319,"Natural",0,0,2,7,0,0,0
"122","902M20301",33.42381,-117.20464,902,"San Diego","Northern San Diego",0.83320275,2020-06-24,2020,1,0.83320275,"Natural",0,0,2,7,0,0,0
"123","907M23408",32.76768,-117.16044,907,"San Diego","Mission Bay and San Diego River",0.36103358,2020-06-25,2020,1,0.36103358,"Natural",2,7,0,0,0,0,7
"124","403M01560",34.23545,-119.21253,403,"Ventura","Santa Clara",0.44703778,2019-05-15,2019,1,0.44703778,"Natural",0,9,0,0,0,0,9
"125","SMC03304",34.28829,-118.72312,408,"Ventura","Calleguas",0.591619,2011-06-29,2011,1,0.591619,"Hard Bottom",0,9,0,0,0,0,9
"126","SMC05296",34.55457,-118.77525,403,"Ventura","Santa Clara",0.93834398,2012-06-26,2012,1,0.93834398,"Natural",0,0,2,7,0,0,0
"127","901M14138",33.57688,-117.63999,901,"Orange","San Juan",0.80679255,2017-06-20,2017,1,0.80679255,"Natural",0,0,4,5,0,0,0
"128","404M07362",33.8009,-118.38703,404,"Los Angeles","Santa Monica Bay",0.38852855,2017-06-08,2017,1,0.38852855,"Natural",2,7,0,0,0,0,7
"129","801M12611",33.80456,-117.86822,801,"Orange","Lower Santa Ana",0.46342111,2015-07-01,2015,1,0.46342111,"Soft Bottom (2)",0,2,0,0,7,0,9
"130","902M18864",33.49207,-117.24653,902,"Riverside","Northern San Diego",1.06967041,2015-05-06,2015,1,1.06967041,"Natural",0,0,2,7,0,0,0
"131","903M20177",33.39672,-117.11527,903,"San Diego","Northern San Diego",0.7870264,2017-05-03,2017,2,0.78215159,"Natural",4,5,0,0,0,0,5
"132","907BCT",32.96654,-116.65211,907,"San Diego","Mission Bay and San Diego River",0.9583806,2014-05-14,2014,1,0.9583806,"Natural",0,0,2,7,0,0,0
"133","SMC02270",33.79573,-117.77241,801,"Orange","Lower Santa Ana",0.63508318,2010-06-30,2010,1,0.63508318,"Hard Bottom",1,8,0,0,0,0,8
"134","SMC02284",34.06542,-117.94939,405,"Los Angeles","San Gabriel",0.41568411,2013-05-29,2013,1,0.41568411,"Hard Bottom",0,9,0,0,0,0,9
"135","801M16916",33.96417,-117.49156,801,"Riverside","Middle Santa Ana",0.73325394,2016-05-24,2016,1,0.73325394,"Natural",1,6,0,0,2,0,8
"136","909M24969",32.92468,-116.55887,909,"San Diego","Southern San Diego",0.99437135,2020-06-16,2020,1,0.99437135,"Natural",0,0,2,7,0,0,0
"137","SMC01278",33.82099,-118.06645,405,"Los Angeles","San Gabriel",0.37555803,2021-07-15,2021,1,0.37555803,"Hard Bottom",0,7,0,0,2,0,9
"138","SMC09534",33.83832,-118.09487,405,"Los Angeles","San Gabriel",0.41038968,2018-07-10,2018,1,0.41038968,"Hard Bottom",0,7,0,0,2,0,9
"139","903M20124",33.29947,-117.08415,903,"San Diego","Northern San Diego",0.94828747,2015-07-09,2015,2,0.96650029,"Natural",0,0,2,7,0,0,0
"140","SMC16169",33.74655,-117.59351,801,"Orange","Lower Santa Ana",0.79950826,2015-06-16,2015,1,0.79950826,"Natural",0,0,2,7,0,0,0
"141","403M05758",34.43484,-118.61254,403,"Los Angeles","Santa Clara",0.79569974,2015-06-29,2015,1,0.79569974,"Natural",0,0,0,9,0,0,0
"142","904M21720",33.15678,-117.28243,904,"San Diego","Central San Diego",0.75104196,2015-06-25,2015,1,0.75104196,"Natural",2,7,0,0,0,0,7
"143","SMC00729",33.13525,-117.17488,904,"San Diego","Central San Diego",0.68295207,2009-06-03,2009,1,0.68295207,"Natural",4,5,0,0,0,0,5
"144","SMC03737",33.11968,-117.09259,904,"San Diego","Central San Diego",0.52039334,2012-07-06,2012,1,0.52039334,"Hard Bottom",4,5,0,0,0,0,5
"145","SMC09564",34.4322,-118.59397,403,"Los Angeles","Santa Clara",0.61535722,2010-06-01,2010,1,0.61535722,"Soft Bottom (0)",0,9,0,0,0,0,9
"146","SMC11181",33.88882,-117.50296,801,"Riverside","Middle Santa Ana",0.50949656,2011-06-21 14:00:00,2011,1,0.50949656,"Hard Bottom",0,9,0,0,0,0,9
"147","403M01580",34.23495,-119.23075,403,"Ventura","Santa Clara",0.54860281,2019-05-15,2019,1,0.54860281,"Natural",0,9,0,0,0,0,9
"148","906M21790",32.94797,-117.19987,906,"San Diego","Central San Diego",0.72709217,2020-05-11,2020,1,0.72709217,"Natural",0,9,0,0,0,0,9
"149","SMC16980",34.43268,-119.24974,402,"Ventura","Ventura",0.99551735,2011-07-06,2011,1,0.99551735,"Natural",0,0,3,6,0,0,0
"150","403M05774",34.42692,-118.62067,403,"Los Angeles","Santa Clara",0.79130155,2016-06-22,2016,2,0.76272586,"Natural",0,9,0,0,0,0,9
"151","911TJWIL3",32.69361,-116.69528,911,"San Diego","Southern San Diego",1.1842725,2019-05-07,2019,1,1.1842725,"Natural",0,0,4,5,0,0,0
"152","SMC00693",33.2964,-117.08556,903,"San Diego","Northern San Diego",0.87183844,2010-05-31,2010,1,0.87183844,"Natural",0,0,2,7,0,0,0
"153","SMC02228",34.06933,-118.22427,412,"Los Angeles","Los Angeles",0.57329829,2009-06-23,2009,1,0.57329829,"Hard Bottom",0,8,0,0,1,0,9
"154","SMC01990",32.79653,-117.11327,907,"San Diego","Mission Bay and San Diego River",0.65620694,2014-07-08,2014,1,0.65620694,"Soft Bottom (0)",1,8,0,0,0,0,8
"155","SMC02644",34.18157,-118.88652,408,"Ventura","Calleguas",0.59386304,2011-06-30,2011,1,0.59386304,"Soft Bottom (0)",1,8,0,0,0,0,8
"156","SMC06714",32.67579,-117.00604,909,"San Diego","Southern San Diego",0.60480512,2010-06-06,2010,1,0.60480512,"Natural",1,8,0,0,0,0,8
"157","SMC00446",34.02018,-118.04627,405,"Los Angeles","San Gabriel",0.47742784,2010-07-01,2010,1,0.47742784,"Soft Bottom (0)",1,8,0,0,0,0,8
"158","SMC00958",33.82532,-117.99894,845,"Orange","San Gabriel",0.25463411,2011-07-19,2011,1,0.25463411,"Soft Bottom (2)",1,6,0,0,2,0,8
"159","402M00090",34.4462,-119.29046,402,"Ventura","Ventura",0.90842106,2020-06-04,2020,1,0.90842106,"Natural",0,0,5,4,0,0,0
"160","402M00130",34.30178,-119.30314,402,"Ventura","Ventura",0.88723256,2020-06-18,2020,1,0.88723256,"Natural",0,0,1,8,0,0,0
"161","905M21791",33.12278,-116.78727,905,"San Diego","Central San Diego",0.75737313,2020-05-27,2020,1,0.75737313,"Natural",2,7,0,0,0,0,7
"162","SMC01413",33.30552,-116.80627,903,"San Diego","Northern San Diego",0.8784077,2012-07-09,2012,1,0.8784077,"Natural",0,0,1,8,0,0,0
