"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","Quantile"
"275","csci_Peak_5_18_0.99",-19279.1425243292,NA,-19279.1425243292,NA,-21082.4702974325,NA,-17765.7833152502,NA,-20627.571533269,NA,-19390.3201011481,NA,-19725.2954478344,NA,18999,"csci","Peak_5",18,"0.99"
"276","csci_SP_Mag_18_0.99",-1084.33856189635,NA,-1084.33856189635,NA,NA,NA,-744.69677352179,NA,NA,NA,-1100.47522832483,NA,NA,NA,14103,"csci","SP_Mag",18,"0.99"
"277","csci_Wet_BFL_Mag_10_18_0.99",-85.7700334936545,39.15824886841,-85.7700334936545,39.15824886841,NA,55.5802671118375,-81.7688198124333,31.7610196063704,NA,49.770479582613,-86.0622678732366,39.8474050494247,-86.9319714939416,42.0705588155096,79019,"csci","Wet_BFL_Mag_10",18,"0.99"
"278","csci_Wet_BFL_Mag_50_18_0.99",NA,189.260996785347,NA,189.260996785347,NA,NA,-358.624582807619,152.512787153555,NA,NA,NA,192.016346234269,NA,200.258785042442,143499,"csci","Wet_BFL_Mag_50",18,"0.99"
"279","csci_Q99_18_0.99",-4303.54332357844,NA,-4303.54332357844,NA,-5160.97720245838,NA,-3753.69904950444,NA,-4916.23842840606,NA,-4349.40759697584,NA,-4491.90188431356,NA,33828,"csci","Q99",18,"0.99"
"280","csci_DS_Mag_50_18_0.9",NA,14.8105513310148,NA,14.8105513310148,NA,48.3820541928721,NA,9.74295891987695,NA,45.6159309111534,NA,15.238343753661,NA,16.6368353357041,14141,"csci","DS_Mag_50",18,"0.9"
"281","csci_FA_Mag_18_0.9",-135.023933450894,96.431033102983,-135.023933450894,96.431033102983,NA,292.455791446259,-48.8904915606895,62.8809240043058,NA,275.259970183186,-142.805331744611,102.490669700613,NA,236.041987051211,11590,"csci","FA_Mag",18,"0.9"
"282","csci_Peak_10_18_0.9",-7179.97771928092,NA,-7179.97771928092,NA,-21697.5689270721,NA,-1314.23099019459,5985.94819887178,-20707.30822606,NA,-7291.60625777484,NA,-7928.03933165317,NA,17273,"csci","Peak_10",18,"0.9"
"283","csci_Peak_2_18_0.9",-3305.15334340932,2063.0948101966,-3305.15334340932,2063.0948101966,-4416.39269264183,2220.10716070015,-1603.94608751374,120.98572751514,-4170.95881524917,2183.46315540049,-3399.20034826168,2074.04789419625,-3641.39318726866,2105.64787658846,17980,"csci","Peak_2",18,"0.9"
"284","csci_Peak_5_18_0.9",-18168.6923122794,NA,-18168.6923122794,NA,-19570.5778048743,NA,-1435.79661664935,2912.74027265976,-19170.5925278747,NA,-18251.6543602875,NA,-18493.6538776967,NA,18999,"csci","Peak_5",18,"0.9"
"285","csci_SP_Mag_18_0.9",-388.494300916324,NA,-388.494300916324,NA,-1055.43195765308,NA,-145.573843093706,361.976949749011,-1010.14599721365,NA,-444.437668585269,NA,-891.899991100889,NA,14103,"csci","SP_Mag",18,"0.9"
"286","csci_Wet_BFL_Mag_10_18_0.9",-83.0734588675109,28.6926861925813,-83.0734588675109,28.6926861925813,-87.2554260241015,37.063409194442,-12.7240058209658,12.1751491199125,-86.2511821081136,34.7458441881908,-83.3532019213127,29.2085961827815,-84.1722234221745,30.7002587491564,79019,"csci","Wet_BFL_Mag_10",18,"0.9"
"287","csci_Wet_BFL_Mag_50_18_0.9",NA,138.244139467967,NA,138.244139467967,NA,188.392184097433,-286.632455374537,88.8965875821465,NA,176.318332058718,NA,141.58508565663,NA,151.380698464865,143499,"csci","Wet_BFL_Mag_50",18,"0.9"
"288","csci_Q99_18_0.9",-4247.56300352701,NA,-4247.56300352701,NA,-5466.33797935552,NA,-878.57355233818,NA,-5097.87786471922,NA,-4308.80860127847,NA,-4501.13989359839,NA,33828,"csci","Q99",18,"0.9"
"289","csci_DS_Mag_50_18_0.7",-20.8957571606592,9.74888138865499,-20.8957571606592,9.74888138865499,NA,16.9768796861551,-8.41162549897007,2.52028361914764,NA,15.0565659946541,-22.1074050475141,10.1875148285155,-25.769124165635,11.4838192234105,14141,"csci","DS_Mag_50",18,"0.7"
"290","csci_FA_Mag_18_0.7",-64.230069161788,57.1880947771178,-64.230069161788,57.1880947771178,-118.432729105298,260.621672984431,-0.630147860241343,33.6903920906738,-104.075205216362,92.6192584247813,-67.7231875447004,58.9703701677551,-77.8018000740936,64.7049921342194,11590,"csci","FA_Mag",18,"0.7"
