"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Categories","MaxScore"
"101","SMC01174",2011,0.72977406,9.02237279387279,"DS_Mag_50","NAT",0.82977406,99.97,"NAT",-11.2137267672896,1.96772076875167,"No","No",78.1906510215586,"Type E",0.72977406
"102","404M07349",2015,0.72473013,5.94519821844822,"DS_Mag_50","NAT",0.82473013,100.08,"NAT",-11.2137267672896,1.96772076875167,"No","No",66.9023521764885,"Type E",0.72473013
"103","SMC04239",2009,0.79716481,0.507085414585415,"DS_Mag_50","NAT",0.89716481,100.57,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.79716481
"104","SMC02484",2013,0.52408964,52.1415014152515,"DS_Mag_50","HB",0.62408964,77.9,"NAT",-11.2137267672896,1.96772076875167,"No","No",96.2261908166379,"Type E",0.52408964
"105","SMC02591",2011,0.89992222,1.03200882450883,"DS_Mag_50","NAT",0.99992222,99.81,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.89992222
"106","SMC04661",2014,0.93130374,3.05704353979353,"DS_Mag_50","NAT",1.03130374,100.1,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",35.6332108739096,"Type X",0.93130374
"107","SMC18046",2013,0.81859748,3.10044846819847,"DS_Mag_50","SB1",0.91859748,99.99,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",36.5343178919202,"Type X",0.81859748
"108","403M01619",2021,0.6893958,0.291144272394275,"DS_Mag_50","NAT",0.7893958,590.77,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.6893958
"109","403M05832",2019,0.85937319,0.454166999666998,"DS_Mag_50","NAT",0.95937319,99.08,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.85937319
"110","902M20301",2020,0.83320275,4.57053338328338,"DS_Mag_50","NAT",0.93320275,99.99,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",56.9476775741632,"Type X",0.83320275
