"","metric","Index","Hydro_endpoint","SmoothingFunc","Quantile","ChosenSmth","Threshold","BioThresh","CurveStatus","Lower2","Upper2"
"132","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.5,3,"SB2",0.76,"Below",0,0
"133","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.5,3,"NAT",0.79,"Passes",-181.535657295425,25.7022488604127
"134","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.5,3,"NATMed",0.79,"Passes",-181.535657295425,25.7022488604127
"135","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.5,3,"NATLow",0.63,"Passes",-314.770793309162,144.916105863729
"136","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.5,3,"HB",0.67,"Passes",-285.910489097753,118.669458581244
"137","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.5,3,"SB0",0.78,"Passes",-192.441323093346,35.284976461759
"138","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.5,3,"SB2",0.75,"Passes",-221.522119713346,60.9480856542333
"139","asci_Peak_10","asci","Peak_10",3,0.5,3,"NAT",0.86,"Below",0,0
"140","asci_Peak_10","asci","Peak_10",3,0.5,3,"NATMed",0.86,"Below",0,0
"141","asci_Peak_10","asci","Peak_10",3,0.5,3,"NATLow",0.75,"Passes",-671.481931713314,1699.85358774559
"142","asci_Peak_10","asci","Peak_10",3,0.5,3,"NATHigh",0.94,"Below",0,0
"143","asci_Peak_10","asci","Peak_10",3,0.5,3,"HB",0.87,"Below",0,0
"144","asci_Peak_10","asci","Peak_10",3,0.5,3,"SB0",0.79,"Below",0,0
"145","asci_Peak_10","asci","Peak_10",3,0.5,3,"SB2",0.76,"Passes",-409.687869248843,1699.85358774559
"146","csci_Peak_10","csci","Peak_10",3,0.5,3,"NAT",0.79,"Passes",-604.151169622289,1699.85358774559
"147","csci_Peak_10","csci","Peak_10",3,0.5,3,"NATMed",0.79,"Passes",-604.151169622289,1699.85358774559
"148","csci_Peak_10","csci","Peak_10",3,0.5,3,"NATLow",0.63,"Passes",-3031.88678832996,1699.85358774559
"149","csci_Peak_10","csci","Peak_10",3,0.5,3,"HB",0.67,"Passes",-2387.15591766312,1699.85358774559
"150","csci_Peak_10","csci","Peak_10",3,0.5,3,"SB0",0.78,"Passes",-748.09921708478,1699.85358774559
"151","csci_Peak_10","csci","Peak_10",3,0.5,3,"SB2",0.75,"Passes",-1182.98145424566,1699.85358774559
"152","asci_Peak_2","asci","Peak_2",3,0.5,3,"NAT",0.86,"Below",0,0
"153","asci_Peak_2","asci","Peak_2",3,0.5,3,"NATMed",0.86,"Below",0,0
"154","asci_Peak_2","asci","Peak_2",3,0.5,3,"NATLow",0.75,"Passes",-276.292982807188,1699.85358774559
"155","asci_Peak_2","asci","Peak_2",3,0.5,3,"NATHigh",0.94,"Below",0,0
"156","asci_Peak_2","asci","Peak_2",3,0.5,3,"HB",0.87,"Below",0,0
"157","asci_Peak_2","asci","Peak_2",3,0.5,3,"SB0",0.79,"Below",0,0
"158","asci_Peak_2","asci","Peak_2",3,0.5,3,"SB2",0.76,"Passes",-176.228671014109,1699.85358774559
"159","csci_Peak_2","csci","Peak_2",3,0.5,3,"NAT",0.79,"Passes",-507.174716150737,1699.85358774559
"160","csci_Peak_2","csci","Peak_2",3,0.5,3,"NATMed",0.79,"Passes",-507.174716150737,1699.85358774559
"161","csci_Peak_2","csci","Peak_2",3,0.5,3,"NATLow",0.63,"Passes",-1732.35773047899,1699.85358774559
"162","csci_Peak_2","csci","Peak_2",3,0.5,3,"HB",0.67,"Passes",-1389.0171021994,1699.85358774559
"163","csci_Peak_2","csci","Peak_2",3,0.5,3,"SB0",0.78,"Passes",-575.74670416426,1699.85358774559
"164","csci_Peak_2","csci","Peak_2",3,0.5,3,"SB2",0.75,"Passes",-785.353965689884,1699.85358774559
"165","asci_Peak_5","asci","Peak_5",3,0.5,3,"NAT",0.86,"Below",0,0
"166","asci_Peak_5","asci","Peak_5",3,0.5,3,"NATMed",0.86,"Below",0,0
"167","asci_Peak_5","asci","Peak_5",3,0.5,3,"NATLow",0.75,"Below",0,0
"168","asci_Peak_5","asci","Peak_5",3,0.5,3,"NATHigh",0.94,"Below",0,0
"169","asci_Peak_5","asci","Peak_5",3,0.5,3,"HB",0.87,"Below",0,0
"170","asci_Peak_5","asci","Peak_5",3,0.5,3,"SB0",0.79,"Below",0,0
"171","asci_Peak_5","asci","Peak_5",3,0.5,3,"SB2",0.76,"Below",0,0
"172","csci_Peak_5","csci","Peak_5",3,0.5,3,"NAT",0.79,"Passes",-522.161917333137,1699.85358774559
"173","csci_Peak_5","csci","Peak_5",3,0.5,3,"NATMed",0.79,"Passes",-522.161917333137,1699.85358774559
"174","csci_Peak_5","csci","Peak_5",3,0.5,3,"NATLow",0.63,"Passes",-2719.66135767621,1699.85358774559
"175","csci_Peak_5","csci","Peak_5",3,0.5,3,"HB",0.67,"Passes",-2132.97203804682,1699.85358774559
"176","csci_Peak_5","csci","Peak_5",3,0.5,3,"SB0",0.78,"Passes",-651.701834010838,1699.85358774559
"177","csci_Peak_5","csci","Peak_5",3,0.5,3,"SB2",0.75,"Passes",-1043.53162267561,1699.85358774559
"178","asci_Q99","asci","Q99",3,0.5,3,"NAT",0.86,"Below",0,0
"179","asci_Q99","asci","Q99",3,0.5,3,"NATMed",0.86,"Below",0,0
"180","asci_Q99","asci","Q99",3,0.5,3,"NATLow",0.75,"Below",0,0
"181","asci_Q99","asci","Q99",3,0.5,3,"NATHigh",0.94,"Below",0,0
"182","asci_Q99","asci","Q99",3,0.5,3,"HB",0.87,"Below",0,0
"183","asci_Q99","asci","Q99",3,0.5,3,"SB0",0.79,"Below",0,0
"184","asci_Q99","asci","Q99",3,0.5,3,"SB2",0.76,"Below",0,0
"185","csci_Q99","csci","Q99",3,0.5,3,"NAT",0.79,"Passes",-472.119510126448,1699.85358774559
"186","csci_Q99","csci","Q99",3,0.5,3,"NATMed",0.79,"Passes",-472.119510126448,1699.85358774559
"187","csci_Q99","csci","Q99",3,0.5,3,"NATLow",0.63,"Passes",-4048.7076054482,1699.85358774559
"188","csci_Q99","csci","Q99",3,0.5,3,"HB",0.67,"Passes",-3126.29142098715,1699.85358774559
"189","csci_Q99","csci","Q99",3,0.5,3,"SB0",0.78,"Passes",-689.641945060911,1699.85358774559
"190","csci_Q99","csci","Q99",3,0.5,3,"SB2",0.75,"Passes",-1344.56372650501,1699.85358774559
"191","asci_DS_Mag_50","asci","DS_Mag_50",6,0.9,6,"NAT",0.86,"Passes",-44933.6480255651,67.4657715333869
"192","asci_DS_Mag_50","asci","DS_Mag_50",6,0.9,6,"NATMed",0.86,"Passes",-44933.6480255651,67.4657715333869
"193","asci_DS_Mag_50","asci","DS_Mag_50",6,0.9,6,"NATHigh",0.94,"Passes",-44933.6480255651,20.1863276376923
"194","asci_DS_Mag_50","asci","DS_Mag_50",6,0.9,6,"HB",0.87,"Passes",-44933.6480255651,62.0024952640354
"195","asci_DS_Mag_50","asci","DS_Mag_50",6,0.9,6,"SB0",0.79,"Passes",-44933.6480255651,92.222013829016
"196","csci_DS_Mag_50","csci","DS_Mag_50",6,0.9,6,"NAT",0.79,"Passes",-21.4166237649127,16.9871881176214
"197","csci_DS_Mag_50","csci","DS_Mag_50",6,0.9,6,"NATMed",0.79,"Passes",-21.4166237649127,16.9871881176214
"198","csci_DS_Mag_50","csci","DS_Mag_50",6,0.9,6,"NATLow",0.63,"Passes",-25.6337990235222,58.8433797435415
"199","csci_DS_Mag_50","csci","DS_Mag_50",6,0.9,6,"NATHigh",0.92,"Passes",-17.731154945339,10.8993026308206
"200","csci_DS_Mag_50","csci","DS_Mag_50",6,0.9,6,"HB",0.67,"Passes",-24.5960297881815,27.6541325445076
"201","csci_DS_Mag_50","csci","DS_Mag_50",6,0.9,6,"SB0",0.78,"Passes",-21.6872780171238,17.5692327349911
"202","csci_DS_Mag_50","csci","DS_Mag_50",6,0.9,6,"SB2",0.75,"Passes",-22.4917974684584,19.4958194854519
"203","asci_FA_Mag","asci","FA_Mag",6,0.9,6,"NAT",0.86,"Passes",-206.297281268249,738.452547754484
"204","asci_FA_Mag","asci","FA_Mag",6,0.9,6,"NATMed",0.86,"Passes",-206.297281268249,738.452547754484
"205","asci_FA_Mag","asci","FA_Mag",6,0.9,6,"NATHigh",0.94,"Passes",-141.811311281539,343.750612304962
"206","asci_FA_Mag","asci","FA_Mag",6,0.9,6,"HB",0.87,"Passes",-198.513089006315,711.816026652236
"207","asci_FA_Mag","asci","FA_Mag",6,0.9,6,"SB0",0.79,"Passes",-44933.6480255651,871.711850506288
"208","asci_FA_Mag","asci","FA_Mag",6,0.9,6,"SB2",0.76,"Passes",-44933.6480255651,919.802507707848
"209","csci_FA_Mag","csci","FA_Mag",6,0.9,6,"NAT",0.79,"Passes",-44933.6480255651,219.60239141418
"210","csci_FA_Mag","csci","FA_Mag",6,0.9,6,"NATMed",0.79,"Passes",-44933.6480255651,219.60239141418
"211","csci_FA_Mag","csci","FA_Mag",6,0.9,6,"NATLow",0.63,"Passes",-44933.6480255651,296.390201804501
"212","csci_FA_Mag","csci","FA_Mag",6,0.9,6,"NATHigh",0.92,"Passes",-181.043452368979,162.93261487478
"213","csci_FA_Mag","csci","FA_Mag",6,0.9,6,"HB",0.67,"Passes",-44933.6480255651,275.387669984657
"214","csci_FA_Mag","csci","FA_Mag",6,0.9,6,"SB0",0.78,"Passes",-44933.6480255651,224.013373785998
"215","csci_FA_Mag","csci","FA_Mag",6,0.9,6,"SB2",0.75,"Passes",-44933.6480255651,237.431733291813
"216","asci_SP_Mag","asci","SP_Mag",6,0.9,6,"NAT",0.86,"Passes",-786.28569818067,1699.85358774559
"217","asci_SP_Mag","asci","SP_Mag",6,0.9,6,"NATMed",0.86,"Passes",-786.28569818067,1699.85358774559
"218","asci_SP_Mag","asci","SP_Mag",6,0.9,6,"NATHigh",0.94,"Passes",-453.375071838606,1699.85358774559
"219","asci_SP_Mag","asci","SP_Mag",6,0.9,6,"HB",0.87,"Passes",-745.718545513859,1699.85358774559
"220","asci_DS_Mag_50","asci","DS_Mag_50",6,0.5,6,"NAT",0.86,"Below",0,0
"221","asci_DS_Mag_50","asci","DS_Mag_50",6,0.5,6,"NATMed",0.86,"Below",0,0
"222","asci_DS_Mag_50","asci","DS_Mag_50",6,0.5,6,"NATLow",0.75,"Passes",-2.79369647567279,1699.85358774559
"223","asci_DS_Mag_50","asci","DS_Mag_50",6,0.5,6,"NATHigh",0.94,"Below",0,0
